,functionality,case_id,test_case,label_gold,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ
0,derog_neg_emote_h,1,I hate women. ,hateful,women,general,hate,hate,,,1,I hate [IDENTITY_P].
1,derog_neg_emote_h,2,I hate trans people. ,hateful,trans people,general,hate,hate,,,1,I hate [IDENTITY_P].
2,derog_neg_emote_h,3,I hate gay people. ,hateful,gay people,general,hate,hate,,,1,I hate [IDENTITY_P].
3,derog_neg_emote_h,4,I hate black people. ,hateful,black people,general,hate,hate,,,1,I hate [IDENTITY_P].
4,derog_neg_emote_h,5,I hate disabled people. ,hateful,disabled people,general,hate,hate,,,1,I hate [IDENTITY_P].
5,derog_neg_emote_h,6,I hate Muslims. ,hateful,Muslims,general,hate,hate,,,1,I hate [IDENTITY_P].
6,derog_neg_emote_h,7,I hate immigrants. ,hateful,immigrants,general,hate,hate,,,1,I hate [IDENTITY_P].
7,derog_neg_emote_h,8,I really can't stand women like you. ,hateful,women,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
8,derog_neg_emote_h,9,I really can't stand trans people like you. ,hateful,trans people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
9,derog_neg_emote_h,10,I really can't stand gay people like you. ,hateful,gay people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
10,derog_neg_emote_h,11,I really can't stand black people like you. ,hateful,black people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
11,derog_neg_emote_h,12,I really can't stand disabled people like you. ,hateful,disabled people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
12,derog_neg_emote_h,13,I really can't stand Muslims like you. ,hateful,Muslims,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
13,derog_neg_emote_h,14,I really can't stand immigrants like you. ,hateful,immigrants,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.
14,derog_neg_emote_h,15,I despise women. ,hateful,women,general,despise,despise,,,3,I despise [IDENTITY_P].
15,derog_neg_emote_h,16,I despise trans people. ,hateful,trans people,general,despise,despise,,,3,I despise [IDENTITY_P].
16,derog_neg_emote_h,17,I despise gay people. ,hateful,gay people,general,despise,despise,,,3,I despise [IDENTITY_P].
17,derog_neg_emote_h,18,I despise black people. ,hateful,black people,general,despise,despise,,,3,I despise [IDENTITY_P].
18,derog_neg_emote_h,19,I despise disabled people. ,hateful,disabled people,general,despise,despise,,,3,I despise [IDENTITY_P].
19,derog_neg_emote_h,20,I despise Muslims. ,hateful,Muslims,general,despise,despise,,,3,I despise [IDENTITY_P].
20,derog_neg_emote_h,21,I despise immigrants. ,hateful,immigrants,general,despise,despise,,,3,I despise [IDENTITY_P].
21,derog_neg_emote_h,22,I detest women. ,hateful,women,general,detest,detest,,,4,I detest [IDENTITY_P].
22,derog_neg_emote_h,23,I detest trans people. ,hateful,trans people,general,detest,detest,,,4,I detest [IDENTITY_P].
23,derog_neg_emote_h,24,I detest gay people. ,hateful,gay people,general,detest,detest,,,4,I detest [IDENTITY_P].
24,derog_neg_emote_h,25,I detest black people. ,hateful,black people,general,detest,detest,,,4,I detest [IDENTITY_P].
25,derog_neg_emote_h,26,I detest disabled people. ,hateful,disabled people,general,detest,detest,,,4,I detest [IDENTITY_P].
26,derog_neg_emote_h,27,I detest Muslims. ,hateful,Muslims,general,detest,detest,,,4,I detest [IDENTITY_P].
27,derog_neg_emote_h,28,I detest immigrants. ,hateful,immigrants,general,detest,detest,,,4,I detest [IDENTITY_P].
28,derog_neg_emote_h,29,I absolutely loathe women. ,hateful,women,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
29,derog_neg_emote_h,30,I absolutely loathe trans people. ,hateful,trans people,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
30,derog_neg_emote_h,31,I absolutely loathe gay people. ,hateful,gay people,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
31,derog_neg_emote_h,32,I absolutely loathe black people. ,hateful,black people,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
32,derog_neg_emote_h,33,I absolutely loathe disabled people. ,hateful,disabled people,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
33,derog_neg_emote_h,34,I absolutely loathe Muslims. ,hateful,Muslims,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
34,derog_neg_emote_h,35,I absolutely loathe immigrants. ,hateful,immigrants,general,loathe,loathe,,,5,I absolutely loathe [IDENTITY_P].
35,derog_neg_emote_h,36,Disgusted by all the women around here. ,hateful,women,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
36,derog_neg_emote_h,37,Disgusted by all the trans people around here. ,hateful,trans people,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
37,derog_neg_emote_h,38,Disgusted by all the gay people around here. ,hateful,gay people,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
38,derog_neg_emote_h,39,Disgusted by all the black people around here. ,hateful,black people,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
39,derog_neg_emote_h,40,Disgusted by all the disabled people around here. ,hateful,disabled people,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
40,derog_neg_emote_h,41,Disgusted by all the Muslims around here. ,hateful,Muslims,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
41,derog_neg_emote_h,42,Disgusted by all the immigrants around here. ,hateful,immigrants,general,disgusted by,disgusted,,,6,Disgusted by all the [IDENTITY_P] around here.
42,derog_neg_emote_h,43,I have so much disdain for these women. ,hateful,women,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
43,derog_neg_emote_h,44,I have so much disdain for these trans people. ,hateful,trans people,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
44,derog_neg_emote_h,45,I have so much disdain for these gay people. ,hateful,gay people,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
45,derog_neg_emote_h,46,I have so much disdain for these black people. ,hateful,black people,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
46,derog_neg_emote_h,47,I have so much disdain for these disabled people. ,hateful,disabled people,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
47,derog_neg_emote_h,48,I have so much disdain for these Muslims. ,hateful,Muslims,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
48,derog_neg_emote_h,49,I have so much disdain for these immigrants. ,hateful,immigrants,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].
49,derog_neg_emote_h,50,I have so much hatred for you women. ,hateful,women,directed,hatred,hatred,,,8,I have so much hatred for you [IDENTITY_P].
50,derog_neg_emote_h,51,I have so much hatred for you trans people. ,hateful,trans people,directed,hatred,hatred,,,8,I have so much hatred for you [IDENTITY_P].
51,derog_neg_emote_h,52,I have so much hatred for you gay people. ,hateful,gay people,directed,hatred,hatred,,,8,I have so much hatred for you [IDENTITY_P].
52,derog_neg_emote_h,53,I have so much hatred for you black people. ,hateful,black people,directed,hatred,hatred,,,8,I have so much hatred for you [IDENTITY_P].
